num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
         1;  0.0000;   1;    536; 59.2438;  100.0;  100.0;  5.32e-05
         1;  0.0000;   3;    712; 131.9175;  100.0;  100.0;  1.50e-04
         1;  0.0000;   7; 100001; 46.6736;  100.0;  100.0;  2.06e-04
         1;  0.0100;   1;     36;  6.6951;   99.9;   99.8;  2.18e-02
         1;  0.0100;   3;     39;  8.5417;   99.9;   99.8;  2.18e-02
         1;  0.0100;   7;   2901;  1.8434;   99.9;   99.8;  2.18e-02
         1;  0.1000;   1;     19;  4.5405;   98.3;   98.0;  7.21e-02
         1;  0.1000;   3;     17;  4.8944;   98.3;   98.0;  7.21e-02
         1;  0.1000;   7;   2301;  1.5206;   98.1;   97.9;  7.22e-02
         2;  0.0000;   1;   1001; 145.0982;   99.7;   99.6;  2.15e-03
         2;  0.0000;   3;   1001; 160.5386;   99.6;   99.6;  3.66e-03
         2;  0.0000;   7; 100001; 43.0505;   99.7;   99.6;  2.33e-03
         2;  0.0100;   1;     76; 11.3889;   99.1;   99.2;  3.94e-02
         2;  0.0100;   3;     43;  8.3431;   99.1;   99.2;  3.94e-02
         2;  0.0100;   7;   2001;  1.2270;   99.1;   99.2;  3.94e-02
         2;  0.1000;   1;     21;  4.2013;   90.3;   91.2;  9.49e-02
         2;  0.1000;   3;     19;  4.5408;   90.3;   91.2;  9.49e-02
         2;  0.1000;   7;   1301;  0.9184;   90.3;   91.2;  9.50e-02
         3;  0.0000;   1;   1001; 127.1955;   99.3;   99.2;  5.93e-03
         3;  0.0000;   3;   1001; 165.8252;   89.9;   90.2;  7.79e-02
         3;  0.0000;   7;  21201; 10.5001;   99.3;   99.2;  6.04e-03
         3;  0.0100;   1;    106; 17.6257;   97.9;   98.2;  5.15e-02
         3;  0.0100;   3;     53; 13.0964;   97.9;   98.2;  5.15e-02
         3;  0.0100;   7;   1701;  1.1798;   97.9;   98.2;  5.16e-02
         3;  0.1000;   1;     27;  5.8763;   89.9;   90.2;  1.06e-01
         3;  0.1000;   3;     18;  4.9536;   89.9;   90.2;  1.06e-01
         3;  0.1000;   7;   2701;  1.6446;   89.9;   90.2;  1.07e-01
         4;  0.0000;   1;    220; 31.8488;  100.0;  100.0;  1.97e-06
         4;  0.0000;   3;   1001; 159.0440;  100.0;  100.0;  2.05e-04
         4;  0.0000;   7; 100001; 49.7745;  100.0;  100.0;  8.32e-05
         4;  0.0100;   1;     40;  7.7628;   99.9;   99.8;  2.20e-02
         4;  0.0100;   3;     43;  9.4634;   99.9;   99.8;  2.20e-02
         4;  0.0100;   7;   1701;  1.2623;   99.9;   99.8;  2.20e-02
         4;  0.1000;   1;     21;  4.8527;   98.7;   98.7;  7.43e-02
         4;  0.1000;   3;     18;  4.9613;   98.7;   98.7;  7.43e-02
         4;  0.1000;   7;   2301;  1.5408;   98.8;   98.7;  7.43e-02
         5;  0.0000;   1;   1001; 139.4781;  100.0;  100.0;  9.89e-05
         5;  0.0000;   3;   1001; 189.4418;  100.0;   99.9;  3.35e-04
         5;  0.0000;   7; 100001; 47.8011;  100.0;   99.9;  3.69e-04
         5;  0.0100;   1;     66; 11.1789;   99.7;   99.7;  2.97e-02
         5;  0.0100;   3;     44;  9.6338;   99.7;   99.7;  2.97e-02
         5;  0.0100;   7;   1301;  1.0366;   99.8;   99.7;  2.98e-02
         5;  0.1000;   1;     29;  6.0774;   95.0;   94.4;  8.95e-02
         5;  0.1000;   3;     17;  4.7390;   95.0;   94.4;  8.95e-02
         5;  0.1000;   7;   2801;  1.8213;   96.5;   95.8;  8.98e-02
         6;  0.0000;   1;   1001; 141.3971;   99.9;   99.9;  1.01e-03
         6;  0.0000;   3;   1001; 174.8012;   99.9;   99.8;  1.16e-03
         6;  0.0000;   7;   6301;  3.2039;   99.8;   99.8;  1.47e-03
         6;  0.0100;   1;     90; 14.3739;   99.3;   99.2;  3.63e-02
         6;  0.0100;   3;     45;  9.4648;   99.3;   99.2;  3.63e-02
         6;  0.0100;   7;   1201;  0.9230;   99.4;   99.2;  3.63e-02
         6;  0.1000;   1;     20;  4.3408;   90.6;   89.8;  9.54e-02
         6;  0.1000;   3;     19;  4.9444;   90.6;   89.8;  9.54e-02
         6;  0.1000;   7;   1701;  1.3302;   90.7;   89.8;  9.58e-02
         7;  0.0000;   1;   1001; 138.2166;  100.0;   99.9;  1.74e-04
         7;  0.0000;   3;   1001; 175.7350;   99.9;   99.8;  1.05e-03
         7;  0.0000;   7;   7501;  4.0569;  100.0;   99.9;  5.95e-04
         7;  0.0100;   1;     41;  8.0950;   99.8;   99.9;  2.49e-02
         7;  0.0100;   3;     37;  8.0144;   99.8;   99.9;  2.49e-02
         7;  0.0100;   7;   1101;  0.8695;   99.8;   99.9;  2.50e-02
         7;  0.1000;   1;     21;  4.4986;   97.2;   97.2;  7.53e-02
         7;  0.1000;   3;     19;  4.8644;   97.2;   97.2;  7.53e-02
         7;  0.1000;   7;   1101;  0.8467;   97.7;   97.8;  7.54e-02
         8;  0.0000;   1;   1001; 138.9423;   98.4;   98.7;  1.27e-02
         8;  0.0000;   3;   1001; 164.8040;   89.8;   88.8;  9.10e-02
         8;  0.0000;   7;  11301;  5.4265;   98.4;   98.6;  1.28e-02
         8;  0.0100;   1;    155; 24.3583;   96.8;   96.7;  6.31e-02
         8;  0.0100;   3;     60; 12.2573;   96.8;   96.7;  6.31e-02
         8;  0.0100;   7;   1801;  1.1906;   96.9;   96.7;  6.31e-02
         8;  0.1000;   1;     21;  4.5064;   89.8;   88.8;  1.14e-01
         8;  0.1000;   3;     18;  4.5598;   89.8;   88.8;  1.14e-01
         8;  0.1000;   7;   1701;  1.0970;   89.8;   88.8;  1.15e-01
         9;  0.0000;   1;   1001; 158.5788;   99.3;   99.2;  5.38e-03
         9;  0.0000;   3;   1001; 167.4378;   90.1;   90.9;  4.93e-02
         9;  0.0000;   7;   4901;  2.5190;   99.3;   99.1;  5.84e-03
         9;  0.0100;   1;    106; 15.9907;   98.5;   98.6;  4.96e-02
         9;  0.0100;   3;     51; 10.2854;   98.5;   98.6;  4.96e-02
         9;  0.0100;   7;   2401;  1.3770;   98.3;   98.7;  4.97e-02
         9;  0.1000;   1;     27;  5.3487;   89.7;   90.5;  1.09e-01
         9;  0.1000;   3;     19;  4.9380;   89.7;   90.5;  1.09e-01
         9;  0.1000;   7;   1301;  0.9309;   89.7;   90.5;  1.09e-01
         0;  0.0000;   1;   1001; 137.0528;   99.7;   99.7;  2.38e-03
         0;  0.0000;   3;   1001; 177.9886;   99.7;   99.7;  2.69e-03
         0;  0.0000;   7;  19901;  9.6791;   99.7;   99.8;  2.58e-03
         0;  0.0100;   1;    107; 16.7369;   99.0;   99.2;  4.23e-02
         0;  0.0100;   3;     58; 11.8271;   99.0;   99.2;  4.23e-02
         0;  0.0100;   7;   1201;  0.9177;   98.9;   99.1;  4.24e-02
         0;  0.1000;   1;     22;  4.7230;   89.9;   89.7;  1.03e-01
         0;  0.1000;   3;     19;  4.9745;   89.9;   89.7;  1.03e-01
         0;  0.1000;   7;   1701;  1.1519;   89.9;   89.7;  1.04e-01
