num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
         1;  0.0000;   1;     36;  0.1516;  100.0;  100.0;  4.22e-07
         1;  0.0000;   3;      5;  0.0387;  100.0;  100.0;  9.51e-09
         1;  0.0000;   7; 125001;  2.1599;  100.0;  100.0;  8.01e-06
         1;  0.0100;   1;     53;  0.1876;  100.0;  100.0;  2.54e-02
         1;  0.0100;   3;     47;  0.2121;  100.0;  100.0;  2.54e-02
         1;  0.0100;   7;   2501;  0.0711;  100.0;  100.0;  3.28e-02
         1;  0.1000;   1;     20;  0.0895;  100.0;  100.0;  9.35e-02
         1;  0.1000;   3;     17;  0.0870;  100.0;  100.0;  9.35e-02
         1;  0.1000;   7;   2126;  0.0576;   98.8;  100.0;  1.17e-01
         2;  0.0000;   1;    272;  0.6725;  100.0;   98.4;  1.45e-06
         2;  0.0000;   3;    267;  0.9019;  100.0;   97.6;  9.11e-08
         2;  0.0000;   7;   2001;  0.0520;  100.0;   99.6;  1.97e-03
         2;  0.0100;   1;    119;  0.3026;   99.6;   99.2;  5.06e-02
         2;  0.0100;   3;     52;  0.1870;   99.6;   99.2;  5.06e-02
         2;  0.0100;   7;   3626;  0.0812;   98.0;  100.0;  6.71e-02
         2;  0.1000;   1;     32;  0.1165;   95.2;   91.2;  1.32e-01
         2;  0.1000;   3;     18;  0.0892;   95.2;   91.2;  1.32e-01
         2;  0.1000;   7;   2126;  0.0536;   55.2;   89.2;  3.34e-01
         3;  0.0000;   1;   1001;  2.3223;  100.0;   99.2;  5.53e-06
         3;  0.0000;   3;     31;  0.1132;   99.2;   99.6;  8.00e-03
         3;  0.0000;   7;   2001;  0.0432;   99.2;   99.6;  8.90e-03
         3;  0.0100;   1;    199;  0.4967;   98.8;   99.6;  6.90e-02
         3;  0.0100;   3;     50;  0.1747;   98.8;   99.6;  6.90e-02
         3;  0.0100;   7;   2001;  0.0457;   98.0;   99.6;  7.70e-02
         3;  0.1000;   1;     46;  0.1342;   96.8;   93.6;  1.60e-01
         3;  0.1000;   3;     20;  0.0892;   96.8;   93.6;  1.60e-01
         3;  0.1000;   7;   1501;  0.0357;   54.8;   89.2;  3.52e-01
         4;  0.0000;   1;     70;  0.1909;  100.0;  100.0;  4.48e-07
         4;  0.0000;   3;      5;  0.0262;  100.0;  100.0;  5.52e-08
         4;  0.0000;   7; 125001;  2.2728;  100.0;  100.0;  1.32e-05
         4;  0.0100;   1;     57;  0.1761;  100.0;  100.0;  2.64e-02
         4;  0.0100;   3;     51;  0.1975;  100.0;  100.0;  2.64e-02
         4;  0.0100;   7;   2126;  0.0553;  100.0;  100.0;  2.77e-02
         4;  0.1000;   1;     22;  0.1234;  100.0;  100.0;  9.20e-02
         4;  0.1000;   3;     16;  0.0887;  100.0;  100.0;  9.20e-02
         4;  0.1000;   7;   2126;  0.0462;   99.2;  100.0;  1.16e-01
         5;  0.0000;   1;    146;  0.3525;  100.0;  100.0;  7.47e-07
         5;  0.0000;   3;     19;  0.0814;  100.0;  100.0;  5.53e-11
         5;  0.0000;   7; 125001;  2.2703;  100.0;  100.0;  2.37e-05
         5;  0.0100;   1;    102;  0.2969;  100.0;  100.0;  3.65e-02
         5;  0.0100;   3;     49;  0.1930;  100.0;  100.0;  3.65e-02
